Client,QBTime_Jobcodes_Mapped,Rate,Rate_Source,Billable_Raw_HMM,Billable_Raw_Hrs,Rounded_Hrs,Amount,Excluded_NonBillable_HMM,Yes,No,Blank,Category,Flags
"Adams Roofing Company","Adams Roofing Company | Adams Roofing Company_1765817299500",125.00,firm default,1:24,1.40,1.50,187.50,0:00,5,0,0,WILL INVOICE,merged-mapping
"Alchemy Bakehouse","Alchemy Bakehouse",125.00,firm default,0:25,0.42,0.50,62.50,0:00,1,0,0,WILL INVOICE,
"Ascend Motor Holdings, Inc","Ascend Motor Holdings, Inc",125.00,firm default,1:31,1.52,1.75,218.75,0:00,7,0,0,WILL INVOICE,
"Atomic City AERIE 2514 FOE","Atomic City AERIE 2514 FOE",125.00,firm default,3:45,3.75,3.75,468.75,0:00,6,0,0,WILL INVOICE,
"Baine & Company","Baine & Company",125.00,firm default,2:49,2.82,3.00,375.00,0:00,6,0,0,WILL INVOICE,
"Bark Bar Holdings LLC","Bark Bar Holdings LLC",125.00,firm default,10:57,10.95,11.00,1375.00,0:00,9,0,0,WILL INVOICE,
"Branded Image Group, LLC","Branded Image Group, LLC",125.00,firm default,9:56,9.93,10.00,1250.00,0:00,12,0,0,WILL INVOICE,
"Briarcliff Community Club","Briarcliff Community Club",125.00,firm default,2:48,2.80,3.00,375.00,0:00,7,0,0,WILL INVOICE,
"Brothers Garage LLC","Brothers Garage LLC",125.00,firm default,1:41,1.68,1.75,218.75,0:00,3,0,0,WILL INVOICE,
"C&B Up to Code","C&B Up to Code",125.00,firm default,1:04,1.07,1.25,156.25,0:00,3,0,0,WILL INVOICE,
"Calamitys Coffee","Calamitys Coffee",125.00,firm default,5:29,5.48,5.50,687.50,0:00,15,0,0,WILL INVOICE,
"Catamount Mgmt","Catamount Mgmt",100.00,override,0:14,0.23,0.25,25.00,0:00,1,0,0,WILL INVOICE,
"ChemDry of Knoxville","ChemDry of Knoxville",125.00,firm default,0:25,0.42,0.50,62.50,0:00,1,0,0,WILL INVOICE,
"Complete Construction Management","Complete Construction Management | Complete Construction Management_1736349745475",125.00,firm default,43:02,43.03,43.25,5406.25,0:00,30,0,0,WILL INVOICE,merged-mapping
"Copper Peaks Solutions","COPPER PEAKS LLC | Copper Peaks Solutions",125.00,firm default,9:25,9.42,9.50,1187.50,0:00,11,0,0,WILL INVOICE,merged-mapping
"Creative Fabrication & Welding Services, Inc.","Creative Fabrication & Welding Services, Inc.",125.00,firm default,0:41,0.68,0.75,93.75,0:00,1,0,0,WILL INVOICE,
"Dandridge School Lofts Owner LLC","Dandridge School Lofts Owner LLC",75.00,override,1:15,1.25,1.25,93.75,0:00,2,0,0,WILL INVOICE,
"Danny Johnson Excavating - New","Danny Johnson Excavating - New",75.00,override,1:13,1.22,1.25,93.75,0:00,5,0,0,WILL INVOICE,
"Deep Cleaning of Knoxville Company","Deep Cleaning of Knoxville Company",125.00,firm default,2:38,2.63,2.75,343.75,0:00,3,0,0,WILL INVOICE,
"Detail Driven","Detail Driven LLC | Detail Driven LLC-Payroll Only",125.00,firm default,1:40,1.67,1.75,218.75,0:00,3,0,0,WILL INVOICE,merged-mapping
"Duke Development Company, LLC","Duke Development, LLC",75.00,override,0:08,0.13,0.25,18.75,0:00,1,0,0,WILL INVOICE,
"Duke Sevierville LLC","Duke Sevierville LLC",75.00,override,0:08,0.13,0.25,18.75,0:00,1,0,0,WILL INVOICE,
"East Tennessee Veterinary Dental Services LLC","East Tennessee Veterinary Dental Services LLC",125.00,firm default,2:47,2.78,3.00,375.00,0:00,7,0,0,WILL INVOICE,
"Elemental Technology Solutions, LLC","Elemental Technology Solutions, LLC",125.00,firm default,1:48,1.80,2.00,250.00,0:00,6,0,0,WILL INVOICE,
"Elliott & Son Excavating LLC","Elliott & Son Excavating LLC",125.00,firm default,2:16,2.27,2.50,312.50,0:00,2,0,0,WILL INVOICE,
"FloorShield of East Tennessee","FloorShield of East Tennessee",125.00,firm default,2:02,2.03,2.25,281.25,0:00,4,0,0,WILL INVOICE,
"GEMOLOGY REBORN","GEMOLOGY REBORN",125.00,firm default,0:30,0.50,0.50,62.50,0:00,1,0,0,WILL INVOICE,
"Gray Cannon Enterprises","Gray Cannon Enterprises",125.00,firm default,0:35,0.58,0.75,93.75,0:00,1,0,0,WILL INVOICE,
"Grow Oak Ridge","Grow Oak Ridge",125.00,firm default,3:51,3.85,4.00,500.00,0:00,6,0,0,WILL INVOICE,
"Gwin Gravity Group","Gwin Gravity Group",125.00,firm default,3:55,3.92,4.00,500.00,0:00,3,0,0,WILL INVOICE,
"Hummingbird Apothecary","Hummingbird Apothecary LLC",125.00,firm default,0:18,0.30,0.50,62.50,0:00,1,0,0,WILL INVOICE,
"Icon Insurance Group","Icon Insurance Group",125.00,firm default,1:05,1.08,1.25,156.25,0:00,3,0,0,WILL INVOICE,
"Imaginationz Dentistry PLLC","Imaginationz Dentistry Payroll Returns",75.00,override,1:57,1.95,2.00,150.00,0:00,2,0,0,WILL INVOICE,
"Jeff Long Trucking","Jeff Long Trucking",125.00,firm default,3:50,3.83,4.00,500.00,0:00,9,0,0,WILL INVOICE,
"Johnson's Depot & Deli","Johnson's Depot & Deli",75.00,override,10:57,10.95,11.00,825.00,0:00,10,0,0,WILL INVOICE,
"Judy Jones","Judy Jones",125.00,firm default,8:27,8.45,8.50,1062.50,0:00,16,0,0,WILL INVOICE,
"Keep the Tennessee River Beautiful","Keep the Tennessee River Beautiful",125.00,firm default,16:33,16.56,16.75,2093.75,0:00,32,0,0,WILL INVOICE,
"Kelsey & Krista's Cleaning","Kelsey & Krista's Cleaning",125.00,firm default,0:37,0.62,0.75,93.75,0:00,1,0,0,WILL INVOICE,
"Kitchen Wok N Roll","Kitchen Wok N Roll",125.00,firm default,2:51,2.85,3.00,375.00,0:00,6,0,0,WILL INVOICE,
"Klein Dental","Klein Dental",125.00,firm default,18:00,18.00,18.00,2250.00,0:00,42,0,0,WILL INVOICE,
"Klein Real Estate Holdings","Klein Real Estate Holdings",125.00,firm default,0:33,0.55,0.75,93.75,0:00,2,0,0,WILL INVOICE,
"Knox Physical Therapy","Knox Physical Therapy",125.00,firm default,16:21,16.35,16.50,2062.50,0:38,27,1,0,WILL INVOICE,has-excluded-entry
"Knoxpro Plumbing LLC","Knoxpro Plumbing LLC",125.00,firm default,3:05,3.08,3.25,406.25,0:00,8,0,0,WILL INVOICE,
"Knoxville Tile Installation LLC","Knoxville Tile Installation LLC",125.00,firm default,1:51,1.85,2.00,250.00,0:00,2,0,0,WILL INVOICE,
"Knoxville Title Agency LLC","Knoxville Title Agency LLC",125.00,firm default,33:01,33.02,33.25,4156.25,0:00,58,0,0,WILL INVOICE,
